Jour,Date,Mois,Fête du jour,Evénement / Dicton
Mercredi,9,Décembre,Pierre Fourier,Quand il tonne en décembre l'hiver s'enfuit
Jeudi,10,Décembre,Romaric,Vent de décembre froid de décembre pour Noël bon temps sans verglas
Vendredi,11,Décembre,Daniel,Froid à la Saint-Daniel sème partout sa marque de gel
Samedi,12,Décembre,Jeanne de Chantal,À la Sainte-Chantal il fait bien froid pour mettre un capot
Dimanche,13,Décembre,Lucie,À la Sainte-Lucie les jours croissent du saut d'une puce
Lundi,14,Décembre,Odile,Décembre fait le froid mais il dit qu'il n'en peut mais
Mardi,15,Décembre,Ninon,À la Sainte-Ninon il fait froid pour de bon
Mercredi,16,Décembre,Alice,Pour Sainte-Alice le jour commence à croître d'un pas d'écrevisse
Jeudi,17,Décembre,Gaël,En décembre fais du bois et endors-toi
Vendredi,18,Décembre,Gatien,Décembre trop beau été dans l'eau
Samedi,19,Décembre,Urbain,En décembre fait du bois et endors-toi
Dimanche,20,Décembre,Théophile,Quand il pleut à la Saint-Théophile ça dure jusqu'en avril
Lundi,21,Décembre,Pierre Canisius,Hiver - Le jour le plus court de l'année - Décembre aux pieds blancs an de neige et de pain
Mardi,22,Décembre,Françoise-Xavière,Décembre de froid trop chiche ne fait pas le paysan riche
Mercredi,23,Décembre,Armand,Si décembre est sous la neige la récolte se protège
Jeudi,24,Décembre,Adèle,Réveillon de Noël - Beaux jours de Noël beaux épis de grain
Vendredi,25,Décembre,Noël,Noël - Noël au balcon Pâques au tison
Samedi,26,Décembre,Étienne,Après la Sainte-Étienne il n'y a plus de bœufs qui viennent
Dimanche,27,Décembre,Jean,Entre Noël et les Rois les jours croissent du pas d'une oie
Lundi,28,Décembre,Innocents,Le jour des Innocents s'allonge du pas d'un serpent
Mardi,29,Décembre,David,À la Saint-David la neige en pleine campagne n'est pas toujours dure
Mercredi,30,Décembre,Roger,Beau temps à la Saint-Roger c'est moisson prospère au verger
Jeudi,31,Décembre,Sylvestre,Réveillon du Nouvel An - An de neige an de bien
